par_pctile,w2_or_sc_nz_30_f,w2_or_sc_nz_30_m,w2_pos_30_f,w2_pos_30_m,w2_or_sc_nz_30_f_sp,w2_or_sc_nz_30_m_sp,w2_pos_30_f_sp,w2_pos_30_m_sp,w2_or_sc_nz_30_f_tp,w2_or_sc_nz_30_m_tp,w2_pos_30_f_tp,w2_pos_30_m_tp,w2_nonemp_f,w2_nonemp_m,coll1823_f,coll1823_m,kid_indv_rank_26_f,kid_indv_rank_26_m,kid_indv_rank_30_f,kid_indv_rank_30_m,kid_rank_30_f,kid_rank_30_m,w2wages_30_f,w2wages_30_m
54,0.835745022,0.86442003,0.790056531,0.835555281,0.838666253,0.82566488,0.799523662,0.798058449,0.834997748,0.874318775,0.787634765,0.845132629,0.809842221,0.862362671,0.758163068,0.631343573,0.485279418,0.545089911,0.471038958,0.546860306,0.532516867,0.502915547,30399.40766,38058.18808
55,0.83869334,0.863691517,0.792373597,0.833768638,0.845750935,0.82394142,0.804596473,0.796030988,0.836957379,0.873246263,0.789367129,0.842839651,0.81254748,0.862087404,0.764791653,0.638260459,0.488379647,0.547721937,0.475244595,0.549222491,0.536901871,0.506167621,30684.75235,38287.32925
56,0.837938541,0.867055019,0.79081889,0.83776276,0.837764759,0.829183879,0.794276701,0.801942615,0.837978198,0.875690537,0.790029823,0.845930603,0.810181696,0.864961234,0.768972565,0.643870582,0.48879531,0.549013829,0.474523002,0.552804884,0.538730463,0.509777749,30637.82884,38521.80679
57,0.840830522,0.868196504,0.794045549,0.838393671,0.843727684,0.832988268,0.801951916,0.80584311,0.84021156,0.875928265,0.792356396,0.845541804,0.814389575,0.867388783,0.774807085,0.64843196,0.493234671,0.552194417,0.477556906,0.555385343,0.543311117,0.510557158,30839.47179,38824.60997
58,0.839879344,0.87004889,0.795827311,0.841875207,0.838673622,0.823822244,0.801291605,0.794560466,0.84012397,0.879558397,0.794718674,0.851608552,0.814826452,0.870649652,0.781494294,0.656853405,0.496123359,0.553873511,0.48107796,0.557249731,0.545943425,0.514650949,31174.79597,38987.98265
59,0.844664499,0.870166711,0.797474769,0.840154583,0.836032926,0.825131152,0.794344132,0.796902323,0.846296761,0.87903841,0.798066784,0.848674983,0.817216334,0.868131642,0.786074574,0.662513388,0.496349213,0.558059093,0.481651028,0.56173431,0.546248627,0.517877352,31138.70147,39696.77158
60,0.843796051,0.875195844,0.797629574,0.845613095,0.85032538,0.830040053,0.806670282,0.802536716,0.842595823,0.883441416,0.795967702,0.853478961,0.817102438,0.872825101,0.794170172,0.670649367,0.500030836,0.559513225,0.484844635,0.56231701,0.551659192,0.520181378,31490.46518,39532.77937
61,0.843522318,0.873054041,0.79731597,0.845069547,0.841733871,0.826771654,0.799539171,0.799915636,0.843826556,0.881057162,0.796937776,0.852877532,0.816598275,0.871499347,0.798352366,0.676454839,0.502785161,0.559958974,0.485025333,0.56682125,0.553449345,0.524439103,31600.11159,39794.04451
62,0.848215412,0.875756137,0.801677387,0.84753391,0.845876521,0.827508961,0.800961394,0.799880526,0.848595938,0.883495843,0.801793875,0.855178362,0.821961576,0.874785804,0.803780518,0.682981782,0.505208312,0.562776919,0.488539955,0.568598365,0.557083181,0.525798892,31826.04267,39937.85624
63,0.847735845,0.880334487,0.803506332,0.850716757,0.845694532,0.83996972,0.805153991,0.809538229,0.84805198,0.886690347,0.803251162,0.857200753,0.822196936,0.877553963,0.807607858,0.692079103,0.506663613,0.566399508,0.493193773,0.572556404,0.560887521,0.529473986,32069.15484,39994.29768
